,2017-4,2018-1,2018-2,2018-3,2018-4,2019-1,2019-2,2019-3,2019-4,2020-1,2020-2,2020-3,2020-4,2021-1
accionar,0,0,1,1,1,2,0,0,1,1,0,0,51,30
accionista,0,0,1,0,0,0,0,0,1,0,1,0,44,24
actividad,0,0,0,0,0,0,0,0,0,0,0,0,39,14
actividad-económico,0,0,0,0,0,0,0,0,0,0,0,2,60,22
administración-público,0,0,0,0,0,0,0,0,0,0,0,2,49,13
agente-social,0,0,0,0,0,0,0,0,0,0,0,0,32,21
amazon-prime,0,0,0,0,0,0,0,0,1,2,3,8,102,53
anunciar,0,0,0,0,0,0,0,0,0,0,0,1,30,20
análisis-técnico,0,0,0,0,2,0,0,0,0,0,0,1,32,14
artículo,0,0,0,0,0,0,0,0,0,0,0,0,86,34
aumentar,1,0,1,0,0,1,0,1,0,0,0,1,58,28
ayudar,7,5,8,8,10,5,3,0,1,0,0,1,50,14
año-anterior,0,0,0,0,0,0,0,0,0,0,0,0,39,22
banco,0,0,0,0,0,0,0,0,0,0,0,1,92,42
banco-central,0,1,0,0,0,0,0,0,0,0,0,1,47,20
banco-central-europeo,0,0,1,1,0,0,0,0,1,0,1,5,149,75
banco-sabadell,0,0,2,0,0,0,0,0,0,0,0,0,74,18
banco-santander,0,1,0,0,0,1,0,0,0,1,0,2,66,20
bank-of-america,0,0,0,0,0,0,0,0,0,0,0,0,40,24
barcelona,1,0,0,0,0,0,0,0,0,0,0,0,31,20
bbva,1,0,1,0,0,0,1,0,0,0,0,1,46,15
beneficiar-neto,1,0,0,0,1,1,0,1,0,0,0,1,49,21
bolsa,0,1,0,0,0,1,0,0,0,0,0,2,67,49
bolsa-españolar,0,0,0,0,1,0,0,0,0,0,0,3,92,26
bolsa-europeo,0,0,0,0,0,0,0,0,0,0,1,0,28,19
bono-español,0,0,1,0,0,0,0,0,0,0,0,4,42,7
boris-johnson,0,0,0,0,0,0,0,0,0,0,0,0,41,14
broker-regular,0,0,0,0,0,0,0,3,4,2,5,13,96,53
business-wire,0,0,0,0,0,0,0,0,0,0,0,0,70,20
caer,0,0,1,0,0,0,0,0,0,0,0,5,64,23
cambiar-climático,0,0,0,0,0,0,0,0,0,0,0,1,66,19
capital,0,0,0,0,0,0,0,0,0,0,0,0,37,32
capital-social,1,0,0,1,1,0,0,0,0,0,0,0,29,21
casa-blanca,0,0,0,0,0,0,0,0,0,0,0,0,44,18
casar,0,0,0,0,0,0,0,0,0,0,0,2,109,40
caso,0,0,0,0,0,0,0,0,0,0,0,1,48,21
cerrar,0,1,1,1,0,0,1,0,0,0,0,2,114,49
cifrar,0,0,1,1,1,0,0,0,0,0,0,0,44,20
cliente,0,0,1,1,0,0,0,0,0,0,0,0,73,25
cnmv,0,2,0,0,0,1,2,2,0,0,1,1,42,14
comer,0,0,0,0,0,0,0,0,0,0,1,1,72,16
comerciar-electrónico,0,0,0,1,0,0,0,0,0,0,0,0,35,22
comisión-europea,0,0,0,0,0,0,0,0,0,0,0,1,131,53
comisión-nacional,1,2,1,1,2,2,1,2,0,0,1,0,93,35
compañía,1,1,3,3,3,3,1,1,0,1,0,1,203,85
compañía-españolar,0,0,0,0,0,0,0,0,0,1,0,0,35,13
completo-gama,0,0,0,0,0,0,0,0,3,0,1,4,27,21
comprar,1,1,0,3,1,3,1,1,1,0,0,2,71,36
comunidad-autónomo,0,0,1,0,0,0,0,0,0,1,0,3,166,65
comunidad-valenciana,0,0,1,0,0,0,0,0,0,0,0,0,46,24
consejero-delegar,0,0,1,1,0,1,0,0,0,0,0,0,144,56
consejo,0,0,0,1,0,0,0,0,0,0,0,0,48,15
coronavirus,0,0,0,0,0,0,0,0,0,0,0,2,119,46
cortar-plazo,0,0,0,0,1,1,0,0,0,0,0,3,87,35
corto-plazo,0,0,0,0,0,0,0,0,0,0,0,0,33,21
cotización,0,0,1,0,0,0,0,0,0,0,0,0,26,21
covid,0,0,0,0,0,0,0,0,0,0,0,0,149,44
crecimiento,0,0,1,0,2,0,0,0,0,0,0,0,35,13
crecimiento-económico,0,0,0,0,1,0,0,0,0,0,0,0,33,18
crisis,0,0,0,0,0,0,0,0,0,0,0,2,49,17
crisis-económico,0,0,0,0,0,0,0,0,0,0,0,0,65,29
crisis-financiero,0,0,0,0,0,1,0,0,0,0,0,0,34,15
crisis-sanitario,0,0,0,0,0,0,0,0,0,0,0,1,111,39
cuartar-trimestre,0,0,0,0,0,0,0,0,0,0,1,1,71,72
cuenta-público,0,0,0,0,0,0,0,0,0,0,0,0,46,5
dato,0,0,0,0,0,0,0,0,0,0,0,3,38,26
